Province/State,Country/Region,Lat,Long,Confirmed,Region Name,Death,Recovered,Active
Faroe Islands,Denmark,61.8926,-6.9118,490,Europe,0,0,490
Greenland,Denmark,71.7069,-42.6043,17,Americas,0,0,17
,Denmark,56.2639,9.5018,38622,Europe,697,697,37228
,Diamond Princess,0,0,712,,13,13,686
,Djibouti,11.8251,42.5903,5528,Africa,61,61,5406
,Dominica,15.415,-61.371,37,Americas,0,0,37
,Dominican Republic,18.7357,-70.1627,122873,Americas,2212,2212,118449
,Ecuador,-1.8312,-78.1834,158270,Americas,12528,12528,133214
,Egypt,26.820553,30.802498,106230,Africa,6176,6176,93878
,El Salvador,13.7942,-88.8965,32421,Americas,940,940,30541
,Equatorial Guinea,1.6508,10.2679,5074,Africa,83,83,4908
,Eritrea,15.1794,39.7823,461,Africa,0,0,461
,Estonia,58.5953,25.0136,4300,Europe,73,73,4154
,Eswatini,-26.5225,31.4659,5831,Africa,116,116,5599
,Ethiopia,9.145,40.4897,92229,Africa,1400,1400,89429
,Fiji,-17.7134,178.065,33,Oceania,2,2,29
,Finland,61.92411,25.748151,14474,Europe,353,353,13768
French Guiana,France,3.9339,-53.1258,10351,Americas,69,69,10213
French Polynesia,France,-17.6797,149.4068,5797,Oceania,20,20,5757
Guadeloupe,France,16.265,-61.551,7329,Americas,115,115,7099
Martinique,France,14.6415,-61.0242,2257,Americas,24,24,2209
Mayotte,France,-12.8275,45.166244,4276,Africa,44,44,4188
New Caledonia,France,-20.904305,165.618042,27,Oceania,0,0,27
Reunion,France,-21.1151,55.5364,5149,Africa,20,20,5109
Saint Barthelemy,France,17.9,-62.8333,77,Americas,0,0,77
Saint Pierre and Miquelon,France,46.8852,-56.3159,16,Americas,0,0,16
St Martin,France,18.0708,-63.0501,538,Americas,8,8,522
,France,46.2276,2.2137,1048842,Europe,34236,34236,980370
,Gabon,-0.8037,11.6094,8919,Africa,54,54,8811
,Gambia,13.4432,-15.3101,3659,Africa,119,119,3421
,Georgia,42.3154,43.3569,24562,Asia,183,183,24196
,Germany,51.165691,10.451526,426110,Europe,10008,10008,406094
,Ghana,7.9465,-1.0232,47601,Africa,314,314,46973
,Greece,39.0742,21.8243,29057,Europe,559,559,27939
,Grenada,12.1165,-61.679,27,Americas,0,0,27
,Guatemala,15.7835,-90.2308,103902,Americas,3594,3594,96714
,Guinea,9.9456,-9.6966,11635,Africa,71,71,11493
,Guinea-Bissau,11.8037,-15.1804,2403,Africa,41,41,2321
,Guyana,4.860416,-58.93018,3960,Americas,117,117,3726
,Haiti,18.9712,-72.2852,9015,Americas,231,231,8553
,Holy See,41.9029,12.4534,27,Europe,0,0,27
,Honduras,15.2,-86.2419,91509,Americas,2604,2604,86301
,Hungary,47.1625,19.5033,54278,Europe,1352,1352,51574
,Iceland,64.9631,-19.0208,4308,Europe,11,11,4286
,India,20.593684,78.96288,7814682,Asia,117956,117956,7578770
,Indonesia,-0.7893,113.9213,381910,Asia,13077,13077,355756
,Iran,32.427908,53.688046,556891,Asia,31985,31985,492921
,Iraq,33.223191,43.679291,445949,Asia,10513,10513,424923
,Ireland,53.1424,-7.6921,55261,Europe,1878,1878,51505
,Israel,31.046051,34.851612,308840,Asia,2329,2329,304182
,Italy,41.87194,12.56738,484869,Europe,37059,37059,410751
,Jamaica,18.1096,-77.2975,8638,Americas,182,182,8274
,Japan,36.204824,138.252924,95868,Asia,1706,1706,92456
,Jordan,31.24,36.51,48930,Asia,508,508,47914
,Kazakhstan,48.0196,66.9237,110250,Asia,1796,1796,106658
,Kenya,-0.0236,37.9062,47843,Africa,884,884,46075
,"Korea, South",35.907757,127.766922,25775,Asia,457,457,24861
,Kosovo,42.602636,20.902977,17263,Europe,657,657,15949
,Kuwait,29.31166,47.481766,120232,Asia,740,740,118752
,Kyrgyzstan,41.20438,74.766098,54588,Asia,1126,1126,52336
,Laos,19.85627,102.495496,24,Asia,0,0,24
,Latvia,56.8796,24.6032,4208,Europe,50,50,4108
,Lebanon,33.8547,35.8623,68479,Asia,559,559,67361
,Lesotho,-29.61,28.2336,1934,Africa,43,43,1848
,Liberia,6.428055,-9.429499,1393,Africa,82,82,1229
,Libya,26.3351,17.228331,53384,Africa,774,774,51836
,Liechtenstein,47.14,9.55,324,Europe,1,1,322
,Lithuania,55.1694,23.8813,9104,Europe,126,126,8852
,Luxembourg,49.8153,6.1296,12851,Europe,141,141,12569
,MS Zaandam,0,0,9,,2,2,5
,Madagascar,-18.766947,46.869107,16810,Africa,238,238,16334
,Malawi,-13.2543,34.3015,5885,Africa,183,183,5519
,Malaysia,4.210484,101.975766,24514,Asia,214,214,24086
,Maldives,3.2028,73.2207,11391,Asia,37,37,11317
,Mali,17.570692,-3.996166,3444,Africa,132,132,3180
,Malta,35.9375,14.3754,5258,Europe,49,49,5160
,Mauritania,21.0079,-10.9408,7662,Africa,163,163,7336
,Mauritius,-20.348404,57.552152,435,Africa,10,10,415
,Mexico,23.6345,-102.5528,880775,Americas,88312,88312,704151
,Moldova,47.4116,28.3699,70256,Europe,1654,1654,66948
,Monaco,43.7333,7.4167,295,Europe,2,2,291
,Mongolia,46.8625,103.8467,328,Asia,0,0,328
,Montenegro,42.708678,19.37439,16436,Europe,255,255,15926
,Morocco,31.7917,-7.0926,190416,Africa,3205,3205,184006
,Mozambique,-18.665695,35.529562,11748,Africa,82,82,11584
,Namibia,-22.9576,18.4904,12501,Africa,133,133,12235
,Nepal,28.1667,84.25,153008,Asia,829,829,151350
Aruba,Netherlands,12.5211,-69.9683,4401,Americas,36,36,4329
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,150,Americas,3,3,144
Curacao,Netherlands,12.1696,-68.99,818,Americas,1,1,816
Sint Maarten,Netherlands,18.0425,-63.0548,776,Americas,22,22,732
,Netherlands,52.1326,5.2913,272401,Europe,6964,6964,258473
,New Zealand,-40.9006,174.886,1934,Oceania,25,25,1884
,Nicaragua,12.865416,-85.207229,5434,Americas,155,155,5124
,Niger,17.607789,8.081666,1215,Africa,69,69,1077
,Nigeria,9.082,8.6753,61882,Africa,1129,1129,59624
,North Macedonia,41.6086,21.7453,25991,Europe,883,883,24225
,Norway,60.472,8.4689,17532,Europe,279,279,16974
,Oman,21.512583,55.923255,111837,Asia,1147,1147,109543
,Pakistan,30.3753,69.3451,327063,Asia,6727,6727,313609
,Panama,8.538,-80.7821,127866,Americas,2622,2622,122622
,Papua New Guinea,-6.314993,143.95555,583,Oceania,7,7,569
,Paraguay,-23.4425,-58.4438,58259,Americas,1278,1278,55703
,Peru,-9.19,-75.0152,879876,Americas,33984,33984,811908
,Philippines,12.879721,121.774017,365799,Asia,6915,6915,351969
,Poland,51.9194,19.1451,228318,Europe,4172,4172,219974
,Portugal,39.3999,-8.2245,112440,Europe,2276,2276,107888
,Qatar,25.3548,51.1839,130711,Asia,229,229,130253
,Romania,45.9432,24.9668,201032,Europe,6245,6245,188542
,Russia,61.52401,105.318756,1471000,Europe,25353,25353,1420294
,Rwanda,-1.9403,29.8739,5052,Africa,34,34,4984
,Saint Kitts and Nevis,17.357822,-62.782998,19,Americas,0,0,19
,Saint Lucia,13.9094,-60.9789,48,Americas,0,0,48
,Saint Vincent and the Grenadines,12.9843,-61.2872,73,Americas,0,0,73
,San Marino,43.9424,12.4578,819,Europe,42,42,735
,Sao Tome and Principe,0.1864,6.6131,938,Africa,15,15,908
,Saudi Arabia,23.885942,45.079162,344157,Asia,5264,5264,333629
,Senegal,14.4974,-14.4524,15525,Africa,321,321,14883
,Serbia,44.0165,21.0059,38115,Europe,786,786,36543
,Seychelles,-4.6796,55.492,153,Africa,0,0,153
,Sierra Leone,8.460555,-11.779889,2343,Africa,74,74,2195
,Singapore,1.2833,103.8333,57951,Asia,28,28,57895
,Slovakia,48.669,19.699,37911,Europe,134,134,37643
,Slovenia,46.1512,14.9955,19307,Europe,214,214,18879
,Solomon Islands,-9.6457,160.1562,4,Oceania,0,0,4
,Somalia,5.152149,46.199616,3897,Africa,102,102,3693
,South Africa,-30.5595,22.9375,712412,Africa,18891,18891,674630
,South Sudan,6.877,31.307,2876,Africa,56,56,2764
,Spain,40.463667,-3.74922,1046132,Europe,34752,34752,976628
,Sri Lanka,7.873054,80.771797,7153,Asia,14,14,7125
,Sudan,12.8628,30.2176,13724,Africa,836,836,12052
,Suriname,3.9193,-56.0278,5155,Americas,109,109,4937
,Sweden,60.128161,18.643501,110594,Europe,5933,5933,98728
,Switzerland,46.8182,8.2275,103653,Europe,2067,2067,99519
,Syria,34.802075,38.996815,5319,Asia,264,264,4791
,Taiwan*,23.7,121,548,Asia,7,7,534
,Tajikistan,38.861,71.2761,10695,Asia,81,81,10533
,Tanzania,-6.369028,34.888822,509,Africa,21,21,467
,Thailand,15.870032,100.992541,3731,Asia,59,59,3613
,Timor-Leste,-8.874217,125.727539,29,Asia,0,0,29
,Togo,8.6195,0.8248,2162,Africa,52,52,2058
,Trinidad and Tobago,10.6918,-61.2225,5487,Americas,104,104,5279
,Tunisia,33.886917,9.537499,47214,Africa,784,784,45646
,Turkey,38.9637,35.2433,357693,Asia,9658,9658,338377
,US,40,-100,8491459,Americas,223975,223975,8043509
,Uganda,1.373333,32.290275,11163,Africa,99,99,10965
,Ukraine,48.3794,31.1656,340042,Europe,6336,6336,327370
,United Arab Emirates,23.424076,53.847818,122273,Asia,475,475,121323
Anguilla,United Kingdom,18.2206,-63.0686,3,Americas,0,0,3
Bermuda,United Kingdom,32.3078,-64.7505,190,Americas,9,9,172
British Virgin Islands,United Kingdom,18.4207,-64.64,71,Americas,1,1,69
Cayman Islands,United Kingdom,19.3133,-81.2546,239,Americas,1,1,237
Channel Islands,United Kingdom,49.3723,-2.3644,795,Europe,48,48,699
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,13,Americas,0,0,13
Gibraltar,United Kingdom,36.1408,-5.3536,641,Europe,0,0,641
Isle of Man,United Kingdom,54.2361,-4.5481,348,Europe,24,24,300
Montserrat,United Kingdom,16.742498,-62.187366,13,Americas,1,1,11
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,699,Americas,6,6,687
,United Kingdom,55.3781,-3.436,830998,Europe,44571,44571,741856
,Uruguay,-32.5228,-55.7658,2759,Americas,53,53,2653
,Uzbekistan,41.377491,64.585262,64724,Asia,542,542,63640
,Venezuela,6.4238,-66.5897,88718,Americas,764,764,87190
,Vietnam,14.058324,108.277199,1148,Asia,35,35,1078
,West Bank and Gaza,31.9522,35.2332,49579,Asia,439,439,48701
,Western Sahara,24.2155,-12.8858,10,Africa,1,1,8
,Yemen,15.552727,48.516388,2060,Asia,599,599,862
,Zambia,-13.133897,27.849332,16095,Africa,346,346,15403
,Zimbabwe,-19.015438,29.154857,8257,Africa,236,236,7785
