Province/State,Country/Region,Lat,Long,Confirmed,Region,Death,Recovered,Active,Region
Yunnan,China,24.974,101.487,211,Asia,2,16,207,Asia
Zhejiang,China,29.1832,120.0934,1283,Asia,1,31295,1281,Asia
,Colombia,4.5709,-74.2973,998942,Americas,29802,659,939338,Americas
,Comoros,-11.6455,43.3333,517,Africa,7,5393,503,Africa
,Congo (Brazzaville),-0.228,15.8277,5156,Africa,92,29,4972,Africa
,Congo (Kinshasa),-4.0383,21.7587,11122,Africa,304,100920,10514,Africa
,Costa Rica,9.7489,-83.7534,101826,Americas,1265,134187,99296,Americas
,Cote d'Ivoire,7.54,-5.5471,20405,Africa,121,98713,20163,Africa
,Croatia,45.1,15.2,31717,Europe,413,28127,30891,Europe
,Cuba,21.521757,-77.781167,6479,Americas,128,4961,6223,Americas
,Cyprus,35.1264,33.4299,3314,Asia,25,405,3264,Asia
,Czechia,49.8175,15.473,238323,Europe,1971,3418,234381,Europe
Faroe Islands,Denmark,61.8926,-6.9118,490,Europe,0,5485,490,Europe
Greenland,Denmark,71.7069,-42.6043,17,Americas,0,46118,17,Americas
,Denmark,56.2639,9.5018,38622,Europe,697,30,37228,Europe
,Diamond Princess,0,0,712,,13,9800,686,
,Djibouti,11.8251,42.5903,5528,Africa,61,9995,5406,Africa
,Dominica,15.415,-61.371,37,Americas,0,3623,37,Americas
,Dominican Republic,18.7357,-70.1627,122873,Americas,2212,2199,118449,Americas
,Ecuador,-1.8312,-78.1834,158270,Americas,12528,98,133214,Americas
,Egypt,26.820553,30.802498,106230,Africa,6176,2964,93878,Africa
,El Salvador,13.7942,-88.8965,32421,Americas,940,27,30541,Americas
,Equatorial Guinea,1.6508,10.2679,5074,Africa,83,4630,4908,Africa
,Eritrea,15.1794,39.7823,461,Africa,0,66,461,Africa
,Estonia,58.5953,25.0136,4300,Europe,73,12,4154,Europe
,Eswatini,-26.5225,31.4659,5831,Africa,116,422,5599,Africa
,Ethiopia,9.145,40.4897,92229,Africa,1400,89600,89429,Africa
,Fiji,-17.7134,178.065,33,Oceania,2,8512,29,Oceania
,Finland,61.92411,25.748151,14474,Europe,353,2660,13768,Europe
French Guiana,France,3.9339,-53.1258,10351,Americas,69,9751,10213,Americas
French Polynesia,France,-17.6797,149.4068,5797,Oceania,20,312347,5757,Oceania
Guadeloupe,France,16.265,-61.551,7329,Americas,115,46824,7099,Americas
Martinique,France,14.6415,-61.0242,2257,Americas,24,1347,2209,Americas
Mayotte,France,-12.8275,45.166244,4276,Africa,44,24,4188,Africa
New Caledonia,France,-20.904305,165.618042,27,Oceania,0,93341,27,Oceania
Reunion,France,-21.1151,55.5364,5149,Africa,20,10474,5109,Africa
Saint Barthelemy,France,17.9,-62.8333,77,Americas,0,1818,77,Americas
Saint Pierre and Miquelon,France,46.8852,-56.3159,16,Americas,0,2923,16,Americas
St Martin,France,18.0708,-63.0501,538,Americas,8,7361,522,Americas
,France,46.2276,2.2137,1048842,Europe,34236,15,980370,Europe
,Gabon,-0.8037,11.6094,8919,Africa,54,37132,8811,Africa
,Gambia,13.4432,-15.3101,3659,Africa,119,15655,3421,Africa
,Georgia,42.3154,43.3569,24562,Asia,183,3187,24196,Asia
